ons_code,name,mp,percsigned,Remain,polParty,EER17CD,EER17NM,partyColour
S14000001,Aberdeen North,Kirsty Blackman MP,2.555636346,56.9,Scottish National Party,S15000001,Scotland,#FEF987
S14000002,Aberdeen South,Ross Thomson MP,2.858855479,67.9,Conservative,S15000001,Scotland,#0087DC
S14000003,Airdrie and Shotts,Neil Gray MP,1.432606649,60.2,Scottish National Party,S15000001,Scotland,#FEF987
S14000004,Angus,Kirstene Hair MP,1.57896989,51.8,Conservative,S15000001,Scotland,#0087DC
S14000005,Argyll and Bute,Brendan O'Hara MP,2.788922052,60.6,Scottish National Party,S15000001,Scotland,#FEF987
S14000006,"Ayr, Carrick and Cumnock",Bill Grant MP,1.625983833,55.9,Conservative,S15000001,Scotland,#0087DC
S14000007,Banff and Buchan,David Duguid MP,1.129438531,46.4,Conservative,S15000001,Scotland,#0087DC
S14000008,"Berwickshire, Roxburgh and Selkirk",John Lamont MP,2.332376661,56.7,Conservative,S15000001,Scotland,#0087DC
S14000009,"Caithness, Sutherland and Easter Ross",Jamie Stone MP,1.856785339,48.7,Liberal Democrat,S15000001,Scotland,#FAA61A
S14000010,Central Ayrshire,Dr Philippa Whitford MP,1.784063857,58.4,Scottish National Party,S15000001,Scotland,#FEF987
S14000011,"Coatbridge, Chryston and Bellshill",Hugh Gaffney MP,1.867825582,61.2,Labour,S15000001,Scotland,#DC241f
S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",Stuart C. McDonald MP,2.492216435,63,Scottish National Party,S15000001,Scotland,#FEF987
S14000013,Dumfries and Galloway,Mr Alister Jack MP,1.717114423,54.9,Conservative,S15000001,Scotland,#0087DC
S14000014,"Dumfriesshire, Clydesdale and Tweeddale",Rt Hon David Mundell MP,2.520639506,55.4,Conservative,S15000001,Scotland,#0087DC
S14000015,Dundee East,Stewart Hosie MP,2.308288792,61.6,Scottish National Party,S15000001,Scotland,#FEF987
S14000016,Dundee West,Chris Law MP,2.621584194,59.3,Scottish National Party,S15000001,Scotland,#FEF987
S14000017,Dunfermline and West Fife,Douglas Chapman MP,2.88477361,60.6,Scottish National Party,S15000001,Scotland,#FEF987
S14000018,East Dunbartonshire,Jo Swinson MP,4.080682467,73.1,Liberal Democrat,S15000001,Scotland,#FAA61A
S14000019,"East Kilbride, Strathaven and Lesmahagow",Dr Lisa Cameron MP,2.608314001,63.1,Scottish National Party,S15000001,Scotland,#FEF987
S14000020,East Lothian,Martin Whitfield MP,3.597825952,64.6,Labour,S15000001,Scotland,#DC241f
S14000021,East Renfrewshire,Paul Masterton MP,3.70008514,74.3,Conservative,S15000001,Scotland,#0087DC
S14000022,Edinburgh East,Tommy Sheppard MP,5.953522238,72.4,Scottish National Party,S15000001,Scotland,#FEF987
S14000023,Edinburgh North and Leith,Deidre Brock MP,7.830020591,78.2,Scottish National Party,S15000001,Scotland,#FEF987
S14000024,Edinburgh South,Ian Murray MP,6.788990826,77.8,Labour,S15000001,Scotland,#DC241f
S14000025,Edinburgh South West,Joanna Cherry QC MP,5.098132792,72.1,Scottish National Party,S15000001,Scotland,#FEF987
S14000026,Edinburgh West,Christine Jardine MP,4.666252593,71.2,Liberal Democrat,S15000001,Scotland,#FAA61A
S14000027,Na h-Eileanan an Iar,Angus Brendan MacNeil MP,2.088678821,55.2,Scottish National Party,S15000001,Scotland,#FEF987
