"ons_code","name","mp","percsigned","Remain","polParty","EER17CD","EER17NM","partyColour"
"E14000817","Mid Sussex","Rt Hon Sir Nicholas Soames MP",15.3581290696485,53.6,"Conservative","E15000008","South East","#0087DC"
"E14000818","Mid Worcestershire","Nigel Huddleston MP",8.41529787909111,40.6,"Conservative","E15000005","West Midlands","#0087DC"
"E14000819","Middlesbrough","Andy McDonald MP",3.97891747228139,33.9,"Labour","E15000001","North East","#DC241f"
"E14000820","Middlesbrough South and East Cleveland","Mr Simon Clarke MP",5.27222095166346,34.7,"Conservative","E15000001","North East","#0087DC"
"E14000821","Milton Keynes North","Rt Hon Mark Lancaster MP",11.5487136482075,50.3,"Conservative","E15000008","South East","#0087DC"
"E14000822","Milton Keynes South","Iain Stewart MP",10.8457781299207,46.9,"Conservative","E15000008","South East","#0087DC"
"E14000823","Mitcham and Morden","Siobhain McDonagh MP",12.3561210605671,55.3,"Labour","E15000007","London","#DC241f"
"E14000824","Mole Valley","Sir Paul Beresford MP",16.741327894037,52.7,"Conservative","E15000008","South East","#0087DC"
"E14000825","Morecambe and Lunesdale","David Morris MP",7.73762432188065,41.8,"Conservative","E15000002","North West","#0087DC"
"E14000826","Morley and Outwood","Andrea Jenkyns MP",7.31258388189429,40.2,"Conservative","E15000003","Yorkshire and The Humber","#0087DC"
"E14000827","New Forest East","Rt Hon Dr Julian Lewis MP",9.41432528690146,39.8,"Conservative","E15000008","South East","#0087DC"
"E14000828","New Forest West","Rt Hon Sir Desmond Swayne MP",10.7424850119485,44.7,"Conservative","E15000008","South East","#0087DC"
"E14000829","Newark","Robert Jenrick MP",9.4795472668198,44.3,"Conservative","E15000004","East Midlands","#0087DC"
"E14000830","Newbury","Rt Hon Richard Benyon MP",13.7617014383078,52.2,"Conservative","E15000008","South East","#0087DC"
"E14000831","Newcastle upon Tyne Central","Chi Onwurah MP",8.89586074283979,52,"Labour","E15000001","North East","#DC241f"
"E14000832","Newcastle upon Tyne East","Rt Hon Nicholas Brown MP",12.8635950949858,58.9,"Labour","E15000001","North East","#DC241f"
"E14000833","Newcastle upon Tyne North","Catherine McKinnell MP",10.2758973933026,43.2,"Labour","E15000001","North East","#DC241f"
"E14000834","Newcastle-under-Lyme","Paul Farrelly MP",6.32305988141005,38.4,"Labour","E15000005","West Midlands","#DC241f"
"E14000835","Newton Abbot","Anne Marie Morris MP",10.5876495364203,44,"Conservative","E15000009","South West","#0087DC"
"E14000836","Normanton, Pontefract and Castleford","Rt Hon Yvette Cooper MP",3.9732253906515,30.7,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000837","North Cornwall","Scott Mann MP",9.09103070028761,39.8,"Conservative","E15000009","South West","#0087DC"
"E14000838","North Devon","Peter Heaton-Jones MP",9.27548288143084,43,"Conservative","E15000009","South West","#0087DC"
"E14000839","North Dorset","Simon Hoare MP",10.5507239091092,43.4,"Conservative","E15000009","South West","#0087DC"
"E14000840","North Durham","Rt Hon Kevan Jones MP",5.6699501123532,39.7,"Labour","E15000001","North East","#DC241f"
"E14000841","North East Bedfordshire","Rt Hon Alistair Burt MP",11.3763257618225,46.6,"Conservative","E15000006","Eastern","#0087DC"
"E14000842","North East Cambridgeshire","Rt Hon Stephen Barclay MP",5.27447281617856,30.6,"Conservative","E15000006","Eastern","#0087DC"
"E14000843","North East Derbyshire","Lee Rowley MP",6.45763593443672,37.9,"Conservative","E15000004","East Midlands","#0087DC"
"E14000844","North East Hampshire","Mr Ranil Jayawardena MP",15.5026055337183,53.8,"Conservative","E15000008","South East","#0087DC"
"E14000845","North East Hertfordshire","Rt Hon Sir Oliver Heald QC MP",13.5974385688512,48.6,"Conservative","E15000006","Eastern","#0087DC"
"E14000846","North East Somerset","Mr Jacob Rees-Mogg MP",14.3437478912207,48.4,"Conservative","E15000009","South West","#0087DC"
"E14000847","North Herefordshire","Bill Wiggin MP",10.3967000653452,42,"Conservative","E15000005","West Midlands","#0087DC"
"E14000848","North Norfolk","Rt Hon Norman Lamb MP",8.13311202416261,41.6,"Liberal Democrat","E15000006","Eastern","#FAA61A"
"E14000849","North Shropshire","Rt Hon Owen Paterson MP",7.27117389075582,40.2,"Conservative","E15000005","West Midlands","#0087DC"
"E14000850","North Somerset","Rt Hon Dr Liam Fox MP",16.4836517628521,52.4,"Conservative","E15000009","South West","#0087DC"
"E14000851","North Swindon","Justin Tomlinson MP",8.54881144168473,42.7,"Conservative","E15000009","South West","#0087DC"
"E14000852","North Thanet","Rt Hon Sir Roger Gale MP",7.53955069389424,34.8,"Conservative","E15000008","South East","#0087DC"
"E14000853","North Tyneside","Mary Glindon MP",7.17098297664791,40.5,"Labour","E15000001","North East","#DC241f"
